RVDAS info from database "DY204" and .json files in /data/pstar_kolea/projects/rpdmoc/cruise_data/dy204/mcruise/data/rvdas/json_files
loaded by mrdefine.m on 09-Feb-2026 17:20:33
saved in /data/pstar_kolea/projects/rpdmoc/cruise_data/dy204/mcruise/data/rvdas/rvtabledef_dy204.mat and /data/pstar_akeake/programs/repos_userbranched/ocp_hydro_matlab_yfiring/file_tools/mexec/mrvdas/rvtabledef_dy204.csv
csv copy only for information (.mat used by mrdefine)

tablenames, tablevars, mstarpre, mstardir, paramtype, rvdasmsg, tableunts, longnames, serials, calfunc, calcoef, caled, mstarvars, mstarunts
nudamuwy_sfuwy,"time,fluo,trans,flow",nudamuwy,met,tsg,sfuwy," ,microgram/litre, , "," ,Seawater fluorescence,Seawater transmission,Seawater instrument flow rate","",""," ,SF=14.9;CWO=0.075,Vdark=0.004;Vref=4.701;Vair=4.795,","","time,fluo,trans,flow"," ,ug_per_l, , "
phins_hehdt,"time,headingtrue",phins,nav,head,hehdt," ,degrees"," ,Heading True","",""," ,","","time,headingtrue"," ,degrees"
phins_pixseatitud,"time,roll,pitch",phins,nav,att,pixseatitud," , , "," ,Roll,Pitch","",""," ,,","","time,roll,pitch"," , , "
phins_pixseheave0,"time,surge,sway,heave",phins,nav,att,pixseheave0," , , , "," ,surge,sway,heave","",""," ,,,","","time,surge,sway,heave"," , , , "
phins_pixsepositi,"time,latitudedd,longitudedd,altitude",phins,nav,pos,pixsepositi," , , , "," ,Latitude Decimal Degrees,Longitude Decimal Degrees,altitude","",""," ,,,","","time,latitudedd,longitudedd,altitude"," , , , "
posmv_gpgga,"time,utctime,latitude,latdir,longitude,londir,altitude",posmv,nav,pos,gpgga," , ,decimal degrees, ,decimal degrees, , "," ,UTC Time,Latitude,Latitude Direction,Longitude,Longitude Direction,Antenna altitude above mean sea level","",""," ,,,,,,","","time,utctime,latitude,latdir,longitude,londir,altitude"," ,hhmmss_fff,decimal degrees, ,decimal degrees, , "
posmv_gphdt,"time,headingtrue",posmv,nav,head,gphdt," , "," ,Heading True","",""," ,","","time,headingtrue"," , "
posmv_gpvtg,"time,coursetrue",posmv,nav,shipmov,gpvtg," ,degrees"," ,Course Over Ground True","",""," ,","","time,coursetrue"," ,degrees"
posmv_pashr,"time,utctime,heading,roll,pitch,heave",posmv,nav,att,pashr," , , , , , "," ,UTC Time,Course Over Ground True,Roll,Pitch,Pitch","",""," ,,,,,","","time,utctime,heading,roll,pitch,heave"," ,hhmmss_fff, , , , "
sbe38dk_sbe38,"time,tempdk",sbe38dk,met,sst,sbe38," ,degrees Celcius",""," ,385440-0476",""," ,A=1.942388E-04;B=2.446135E-04;C=-8.317580E-08;D=9.165117E-08","","time,tempdk"," ,degreesc"
sbe45_nanan,"time,temph,conductivity,salinity,soundvelocity,tempr",sbe45,met,tsg,nanan," ,Degrees Celsius,S/m, , ,degrees Celcius","","",""," ,=,=,,,=","","time,temph,conductivity,salinity,soundvelocity,tempr"," ,degreesc,s/m, , ,degreesc"
shipsgyro_hehdt,"time,headingtrue",shipsgyro,nav,head,hehdt," ,degrees (clockwise from the true north)"," ,Heading True","",""," ,","","time,headingtrue"," ,degrees (clockwise from the true north)"
skipperlog_vdvbw,"time,longitudinalwaterspeed,transversewaterspeed,longitudinalgroundspeed,transversegroundspeed",skipperlog,other,log,vdvbw," , , , , "," ,Longitudinal WaterSpeed in Knots,Transverse Water Speed in Knots,Longitudinal Ground Speed in Knots,Transverse Ground Speed in Knots","",""," ,,,,","","time,longitudinalwaterspeed,transversewaterspeed,longitudinalgroundspeed,transversegroundspeed"," , , , , "
winch_winch,"time,tension,cableout,rate,backtension,rollangle",winch,other,winch,winch," , , , , , "," ,Tension - Load on the cable,Length of deployed cable,Cable rate,Back Tension,roll","",""," ,,,,,","","time,tension,cableout,rate,backtension,rollangle"," , , , , , "
windsonic_iimwv,"time,winddirection,windspeed",windsonic,met,wind,iimwv," ,degrees (clockwise from the bow),m*s-1",""," ,071123,071123"," ,-,-"," ,=,=","","time,winddirection,windspeed"," ,degrees (clockwise from the bow),m*s-1"
