RVDAS info from database "JC282" and .json files in 
loaded by mrdefine.m on 13-Aug-2025 09:57:54
saved in /data/pstar/projects/obg/jc282/mcruise/data/rvdas/rvtabledef_jc282.mat and /data/pstar/repos/NOC-OCP/ocp_hydro_matlab/file_tools/mexec/mrvdas/rvtabledef_jc282.csv
csv copy only for information (.mat used by mrdefine)

tablenames, tablevars, mstarpre, mstardir, paramtype, rvdasmsg, tableunts, longnames, mstarvars, mstarunts
posmv_pashr,"time,utctime,roll,pitch,heave,headingacuracy",posmv,nav,att,pashr," , ,degrees,degrees,metres, "," , ,Roll about the longitudinal axis X degrees,Pitch about the lateral axis Y degrees,Heave along the vertical axis Z meters, ","time,utctime,roll,pitch,heave,headingacuracy"," ,hhmmss_fff,degrees,degrees,metres, "
ranger2usbl_psonlld,"time,utctime,id,lat,long,depth,hor_err_major,hor_err_minor,hor_err_dir,depth_error,optional_spec,opt1,opt2,opt3",ranger2usbl,other,usbl,psonlld," , , , , , , , , , , , , , ","" "," ","ID of tracked object. In the case of beacon, beacon address.","Latitude of object in decimal degrees. +ve value indicates North.","Longitude of object in decimal degrees. +ve value indicates East.","Depth of object in metres, with respect to water surface. +ve value indicates down.","Horizontal error ellipse major axis in metres (1 SD).","Horizontal error ellipse minor axis in metres (1 SD).","Direction of horizontal error ellipse major axis in decimal degrees relative to true North.","Depth error in metres (1 SD).","Optional fields specifier, a code denoting what the optional field contains. Blank for no optional data.","Optional field 1","Optional field 2","Optional field 3"","time,utctime,id,lat,long,depth,hor_err_major,hor_err_minor,hor_err_dir,depth_error,optional_spec,opt1,opt2,opt3"," ,hhmmss_fff, ,decimal_degrees,decimal_degrees, , , , , , , , , "
sbe38dk_sbe38,"time,tempdk",sbe38dk,met,sst,sbe38," ,degC"," ,Sea water temperature from SBE38 Drop-Keel sensor","time,tempdk"," ,degc"
sbe45_nanan,"time,temph,conductivity,salinity,soundvelocity,tempr",sbe45,met,tsg,nanan," , , , , , "," , ,Surface Water Conductivity (S/m),sea surface salinity (PSU), , ","time,temph,conductivity,salinity,soundvelocity,tempr"," ,degreesC,S_per_m,psu, ,degreesC"
seapathatt_psxn23,"time,roll,pitch,heading,heave",seapathatt,nav,att,psxn23," ,degrees,degrees,degrees,metres"," ,Roll about the longitudinal axis X degrees,Pitch about the lateral axis Y degrees,Sensor Heading degrees,Heave along the vertical axis Z meters","time,roll,pitch,heading,heave"," ,degrees,degrees,degrees,metres"
seapathpos_ingga,"time,utctime,latitude,latdir,longitude,londir,altitude",seapathpos,nav,pos,ingga," , ,degrees and decimal minutes, ,degrees and decimal minutes, ,metres"," , ,Latitude (degrees and decimal minutes),Latitude Direction (N|S),Longitude (degrees and decimal minutes),Longitude Direction (E|W),Height above sea-level in meters","time,utctime,latitude,latdir,longitude,londir,altitude"," ,hhmmss_fff,,decimal_degrees,,decimal_degrees,metres"
seapathpos_inhdt,"time,heading",seapathpos,nav,head,inhdt," ,degrees","" ","Heading in degrees, true"","time,heading"," ,degrees"
seapathpos_invtg,"time,cog,cogm,sog,sogkmph",seapathpos,nav,shipmov,invtg," ,degrees,degrees,knots,Kilometre per hours"," ,Course over ground & Ground speed data,Course Over Ground Magnetic,Speed Over Ground in Knots,Speed over ground km/h","time,cog,cogm,sog,sogkmph"," ,degrees,degrees,knots,kilometre per hours"
shipsgyro_hehdt,"time,heading",shipsgyro,nav,head,hehdt," ,degrees"," ,True Heading in degrees (0-360)","time,heading"," ,degrees"
skipperlog_vdvbw,"time,longitudinalwaterspeed,transversewaterspeed,longitudinalgroundspeed,transversegroundspeed,null1,null2",skipperlog,other,log,vdvbw," , , , , , , "," , , , , ,null,null","time,longitudinalwaterspeed,transversewaterspeed,longitudinalgroundspeed,transversegroundspeed,null1,null2"," ,decimal_degrees,m_per_second,decimal_degrees,m_per_second, , "
winch_winch,"time,tension,cableout,rate,backtension,rollangle",winch,other,winch,winch," ,tonne, , , , "," ,Cable Tension (T), ,Cable Rate (m/min), , ","time,tension,cableout,rate,backtension,rollangle"," ,tonne,m_per_second, , , "
windsonic_iimwv,"time,winddirection,windspeed",windsonic,met,wind,iimwv," , , "," , , ","time,winddirection,windspeed"," , ,m_per_second"
